Entry_ID,Date Announced,Detected District,Detected State,State code,Num Cases,Current Status
587123,05-05-2021,Angul,Odisha,OR,443,Hospitalized
587124,05-05-2021,Balasore,Odisha,OR,151,Hospitalized
587125,05-05-2021,Bargarh,Odisha,OR,483,Hospitalized
587126,05-05-2021,Bhadrak,Odisha,OR,52,Hospitalized
587127,05-05-2021,Balangir,Odisha,OR,326,Hospitalized
587128,05-05-2021,Boudh,Odisha,OR,129,Hospitalized
587129,05-05-2021,Cuttack,Odisha,OR,790,Hospitalized
587130,05-05-2021,Deogarh,Odisha,OR,75,Hospitalized
587131,05-05-2021,Dhenkanal,Odisha,OR,90,Hospitalized
587132,05-05-2021,Gajapati,Odisha,OR,117,Hospitalized
587133,05-05-2021,Ganjam,Odisha,OR,310,Hospitalized
587134,05-05-2021,Jagatsinghpur,Odisha,OR,156,Hospitalized
587135,05-05-2021,Jajpur,Odisha,OR,282,Hospitalized
587136,05-05-2021,Jharsuguda,Odisha,OR,386,Hospitalized
587137,05-05-2021,Kalahandi,Odisha,OR,414,Hospitalized
587138,05-05-2021,Kandhamal,Odisha,OR,52,Hospitalized
587139,05-05-2021,Kendrapara,Odisha,OR,133,Hospitalized
587140,05-05-2021,Kendujhar,Odisha,OR,195,Hospitalized
587141,05-05-2021,Khordha,Odisha,OR,1331,Hospitalized
587142,05-05-2021,Koraput,Odisha,OR,94,Hospitalized
587143,05-05-2021,Malkangiri,Odisha,OR,86,Hospitalized
587144,05-05-2021,Mayurbhanj,Odisha,OR,243,Hospitalized
587145,05-05-2021,Nabarangapur,Odisha,OR,414,Hospitalized
587146,05-05-2021,Nayagarh,Odisha,OR,223,Hospitalized
587147,05-05-2021,Nuapada,Odisha,OR,335,Hospitalized
587148,05-05-2021,Puri,Odisha,OR,436,Hospitalized
587149,05-05-2021,Rayagada,Odisha,OR,129,Hospitalized
587150,05-05-2021,Sambalpur,Odisha,OR,470,Hospitalized
587151,05-05-2021,Subarnapur,Odisha,OR,158,Hospitalized
587152,05-05-2021,Sundargarh,Odisha,OR,1137,Hospitalized
587153,05-05-2021,State Pool,Odisha,OR,249,Hospitalized
587154,05-05-2021,Gajapati,Odisha,OR,3,Deceased
587155,05-05-2021,Kalahandi,Odisha,OR,3,Deceased
587156,05-05-2021,Khordha,Odisha,OR,4,Deceased
587157,05-05-2021,Puri,Odisha,OR,1,Deceased
587158,05-05-2021,Rayagada,Odisha,OR,2,Deceased
587159,05-05-2021,Sambalpur,Odisha,OR,1,Deceased
587160,05-05-2021,Sundargarh,Odisha,OR,2,Deceased
587161,05-05-2021,Dhalai,Tripura,TR,7,Hospitalized
587162,05-05-2021,Gomati,Tripura,TR,6,Hospitalized
587163,05-05-2021,Khowai,Tripura,TR,8,Hospitalized
587164,05-05-2021,North Tripura,Tripura,TR,31,Hospitalized
587165,05-05-2021,Sipahijala,Tripura,TR,7,Hospitalized
587166,05-05-2021,South Tripura,Tripura,TR,8,Hospitalized
587167,05-05-2021,Unokoti,Tripura,TR,5,Hospitalized
587168,05-05-2021,West Tripura,Tripura,TR,168,Hospitalized
587169,05-05-2021,Dhalai,Tripura,TR,2,Recovered
587170,05-05-2021,Gomati,Tripura,TR,2,Recovered
587171,05-05-2021,North Tripura,Tripura,TR,5,Recovered
587172,05-05-2021,Sipahijala,Tripura,TR,1,Recovered
587173,05-05-2021,South Tripura,Tripura,TR,6,Recovered
587174,05-05-2021,Unokoti,Tripura,TR,6,Recovered
587175,05-05-2021,West Tripura,Tripura,TR,37,Recovered
587176,05-05-2021,Puducherry,Puducherry,PY,1435,Hospitalized
587177,05-05-2021,Karaikal,Puducherry,PY,182,Hospitalized
587178,05-05-2021,Yanam,Puducherry,PY,180,Hospitalized
587179,05-05-2021,Mahe,Puducherry,PY,22,Hospitalized
587180,05-05-2021,Puducherry,Puducherry,PY,798,Recovered
587181,05-05-2021,Karaikal,Puducherry,PY,74,Recovered
587182,05-05-2021,Yanam,Puducherry,PY,37,Recovered
587183,05-05-2021,Mahe,Puducherry,PY,24,Recovered
587184,05-05-2021,Puducherry,Puducherry,PY,17,Deceased
587185,05-05-2021,Yanam,Puducherry,PY,1,Deceased
587186,05-05-2021,,Telangana,TG,8126,Recovered
587187,05-05-2021,,Telangana,TG,51,Deceased
587188,05-05-2021,Adilabad,Telangana,TG,82,Hospitalized
587189,05-05-2021,Bhadradri Kothagudem,Telangana,TG,98,Hospitalized
587190,05-05-2021,Hyderabad,Telangana,TG,1225,Hospitalized
587191,05-05-2021,Jagtial,Telangana,TG,178,Hospitalized
587192,05-05-2021,Jangaon,Telangana,TG,51,Hospitalized
587193,05-05-2021,Jayashankar Bhupalapally,Telangana,TG,75,Hospitalized
587194,05-05-2021,Jogulamba Gadwal,Telangana,TG,87,Hospitalized
587195,05-05-2021,Kamareddy,Telangana,TG,107,Hospitalized
587196,05-05-2021,Karimnagar,Telangana,TG,248,Hospitalized
