DATE,STATE,CONFIRMED,RECOVERED,DECEASED,TOTAL TESTED
08-05-2021,Telangana,5186,7994,38,69148
09-05-2021,Gujarat,11084,14770,121,127431
20-05-2021,Tripura,720,316,3,10699
20-05-2021,Andhra Pradesh,22610,23098,114,101281
22-05-2021,Meghalaya,1123,509,21,4801
03-04-2021,Nagaland,1,\N,\N,89
14-04-2021,Karnataka,11265,4364,38,113242
15-04-2021,Telangana,3307,897,8,106627
19-04-2021,Puducherry,565,336,5,3564
19-04-2021,Andaman and Nicobar Islands,31,12,\N,1668
28-04-2021,Tamil Nadu,16665,15114,98,130042
03-05-2021,Lakshadweep,70,109,2,490
07-05-2021,Uttar Pradesh,27763,33117,372,241403
17-05-2021,Jammu and Kashmir,3344,4042,73,34637
10-04-2021,Lakshadweep,10,5,\N,396
12-04-2021,Meghalaya,26,23,\N,1083
14-04-2021,Uttar Pradesh,20439,4517,67,210796
28-04-2021,Himachal Pradesh,2539,1552,33,14481
01-05-2021,Odisha,10413,5634,11,47462
10-05-2021,Punjab,8549,6894,198,37806
11-05-2021,Andhra Pradesh,20345,14502,108,86878
17-05-2021,Chandigarh,620,876,6,3355
18-05-2021,Sikkim,209,94,2,580
21-05-2021,Delhi,3009,7288,252,63190
07-04-2021,Jammu and Kashmir,812,254,6,43875
24-04-2021,Chandigarh,711,428,3,3671
28-04-2021,Mizoram,228,49,\N,3305
02-05-2021,Rajasthan,18298,11262,159,84735
17-05-2021,Bihar,5920,11216,96,125342
19-05-2021,West Bengal,19006,19151,157,70133
25-05-2021,Goa,1549,2082,39,5044
01-04-2021,Tripura,24,13,\N,1884
01-04-2021,Andhra Pradesh,1271,464,3,31809
07-04-2021,Chandigarh,399,313,2,3112
11-04-2021,Delhi,10774,5158,48,114288
24-04-2021,Bihar,12359,6741,77,101428
26-04-2021,West Bengal,15992,9775,68,48562
01-05-2021,Haryana,13588,8509,125,50823
01-05-2021,Arunachal Pradesh,217,56,\N,3463
03-05-2021,Chhattisgarh,15274,14398,266,58493
08-05-2021,Goa,3751,3025,55,8115
09-05-2021,Sikkim,227,116,2,808
14-05-2021,Nagaland,275,66,13,1115
25-05-2021,Karnataka,22758,38224,588,107675
09-04-2021,West Bengal,3648,1146,8,36117
19-02-2021,Jharkhand,\N,1,\N,18371
10-04-2021,Chhattisgarh,14098,4983,123,50156
15-04-2021,Goa,757,182,5,2711
17-04-2021,Madhya Pradesh,11269,6497,66,52568
21-04-2021,Nagaland,97,4,\N,713
23-04-2021,Kerala,28447,5663,27,130617
08-05-2021,Karnataka,47563,34881,482,157027
09-05-2021,Telangana,4976,7646,35,55358
21-05-2021,Lakshadweep,345,177,2,2941
