Entry_ID,Date Announced,Detected District,Detected State,State code,Num Cases,Current Status
563057,21-04-2021,Aizawl,Mizoram,MZ,69,Hospitalized
563058,21-04-2021,Lawngtlai,Mizoram,MZ,16,Hospitalized
563059,21-04-2021,Mamit,Mizoram,MZ,2,Hospitalized
563060,21-04-2021,Kolasib,Mizoram,MZ,2,Hospitalized
563061,21-04-2021,Serchhip,Mizoram,MZ,1,Hospitalized
563062,21-04-2021,Adilabad,Telangana,TG,98,Hospitalized
563063,21-04-2021,Bhadradri Kothagudem,Telangana,TG,128,Hospitalized
563064,21-04-2021,Hyderabad,Telangana,TG,898,Hospitalized
563065,21-04-2021,Jagtial,Telangana,TG,230,Hospitalized
563066,21-04-2021,Jangaon,Telangana,TG,84,Hospitalized
563067,21-04-2021,Jayashankar Bhupalapally,Telangana,TG,32,Hospitalized
563068,21-04-2021,Jogulamba Gadwal,Telangana,TG,48,Hospitalized
563069,21-04-2021,Kamareddy,Telangana,TG,235,Hospitalized
563070,21-04-2021,Karimnagar,Telangana,TG,203,Hospitalized
563071,21-04-2021,Khammam,Telangana,TG,246,Hospitalized
563072,21-04-2021,Komaram Bheem,Telangana,TG,37,Hospitalized
563073,21-04-2021,Mahabubnagar,Telangana,TG,263,Hospitalized
563074,21-04-2021,Mahabubabad,Telangana,TG,64,Hospitalized
563075,21-04-2021,Mancherial,Telangana,TG,176,Hospitalized
563076,21-04-2021,Medak,Telangana,TG,131,Hospitalized
563077,21-04-2021,Medchal Malkajgiri,Telangana,TG,570,Hospitalized
563078,21-04-2021,Mulugu,Telangana,TG,42,Hospitalized
563079,21-04-2021,Nagarkurnool,Telangana,TG,131,Hospitalized
563080,21-04-2021,Nalgonda,Telangana,TG,285,Hospitalized
563081,21-04-2021,Narayanpet,Telangana,TG,37,Hospitalized
563082,21-04-2021,Nirmal,Telangana,TG,143,Hospitalized
563083,21-04-2021,Nizamabad,Telangana,TG,427,Hospitalized
563084,21-04-2021,Peddapalli,Telangana,TG,96,Hospitalized
563085,21-04-2021,Rajanna Sircilla,Telangana,TG,124,Hospitalized
563086,21-04-2021,Ranga Reddy,Telangana,TG,532,Hospitalized
563087,21-04-2021,Sangareddy,Telangana,TG,320,Hospitalized
563088,21-04-2021,Siddipet,Telangana,TG,147,Hospitalized
563089,21-04-2021,Suryapet,Telangana,TG,130,Hospitalized
563090,21-04-2021,Vikarabad,Telangana,TG,135,Hospitalized
563091,21-04-2021,Wanaparthy,Telangana,TG,81,Hospitalized
563092,21-04-2021,Warangal Rural,Telangana,TG,85,Hospitalized
563093,21-04-2021,Warangal Urban,Telangana,TG,244,Hospitalized
563094,21-04-2021,Yadadri Bhuvanagiri,Telangana,TG,140,Hospitalized
563095,21-04-2021,,Telangana,TG,2887,Recovered
563096,21-04-2021,,Telangana,TG,20,Deceased
563097,21-04-2021,Angul,Odisha,OR,111,Hospitalized
563098,21-04-2021,Balasore,Odisha,OR,52,Hospitalized
563099,21-04-2021,Bargarh,Odisha,OR,318,Hospitalized
563100,21-04-2021,Bhadrak,Odisha,OR,73,Hospitalized
563101,21-04-2021,Balangir,Odisha,OR,227,Hospitalized
563102,21-04-2021,Boudh,Odisha,OR,22,Hospitalized
563103,21-04-2021,Cuttack,Odisha,OR,304,Hospitalized
563104,21-04-2021,Deogarh,Odisha,OR,35,Hospitalized
563105,21-04-2021,Dhenkanal,Odisha,OR,31,Hospitalized
563106,21-04-2021,Gajapati,Odisha,OR,35,Hospitalized
563107,21-04-2021,Ganjam,Odisha,OR,151,Hospitalized
563108,21-04-2021,Jagatsinghpur,Odisha,OR,39,Hospitalized
563109,21-04-2021,Jajpur,Odisha,OR,64,Hospitalized
563110,21-04-2021,Jharsuguda,Odisha,OR,290,Hospitalized
563111,21-04-2021,Kalahandi,Odisha,OR,79,Hospitalized
563112,21-04-2021,Kandhamal,Odisha,OR,27,Hospitalized
563113,21-04-2021,Kendrapara,Odisha,OR,58,Hospitalized
563114,21-04-2021,Kendujhar,Odisha,OR,166,Hospitalized
563115,21-04-2021,Khordha,Odisha,OR,703,Hospitalized
563116,21-04-2021,Koraput,Odisha,OR,62,Hospitalized
563117,21-04-2021,Malkangiri,Odisha,OR,31,Hospitalized
563118,21-04-2021,Mayurbhanj,Odisha,OR,78,Hospitalized
563119,21-04-2021,Nabarangapur,Odisha,OR,194,Hospitalized
