Date,State,Confirmed,Recovered,Deceased,Total Tested
04-04-2021,Assam,69,48,2,7075
04-04-2021,Himachal Pradesh,409,256,10,3813
04-04-2021,Mizoram,3,3,0,547
05-04-2021,Maharashtra,47297,26252,155,175682
05-04-2021,Madhya Pradesh,3398,2064,15,31389
05-04-2021,Gujarat,3160,2028,15,116221
05-04-2021,Chandigarh,285,372,1,2104
05-04-2021,Bihar,935,349,3,72418
05-04-2021,Andhra Pradesh,1326,911,5,30678
05-04-2021,Tripura,3,10,0,509
05-04-2021,Odisha,573,215,0,28109
05-04-2021,Arunachal Pradesh,2,0,0,356
05-04-2021,Haryana,2040,1501,8,18663
05-04-2021,Manipur,5,9,0,1039
05-04-2021,Uttarakhand,547,323,2,28381
05-04-2021,Andaman and Nicobar Islands,7,11,0,1444
05-04-2021,Puducherry,180,95,0,2702
05-04-2021,Tamil Nadu,3672,1842,11,80056
05-04-2021,West Bengal,1961,664,4,26174
05-04-2021,Jammu and Kashmir,442,241,2,35257
05-04-2021,Telangana,1097,268,6,43070
05-04-2021,Goa,247,142,2,2046
05-04-2021,Karnataka,5279,1856,32,97829
05-04-2021,Uttar Pradesh,3974,879,13,161266
05-04-2021,Kerala,2357,1866,12,40191
05-04-2021,Nagaland,2,0,0,105
05-04-2021,Meghalaya,4,7,0,1108
05-04-2021,Delhi,3548,2936,15,64003
05-04-2021,Lakshadweep,3,8,0,374
05-04-2021,Chhattisgarh,7302,1412,44,40053
05-04-2021,Rajasthan,2429,527,12,19774
05-04-2021,Punjab,2692,2515,72,21605
05-04-2021,Jharkhand,1086,438,10,19253
05-04-2021,Assam,70,60,0,17605
05-04-2021,Himachal Pradesh,609,268,6,4770
05-04-2021,Mizoram,1,5,0,426
06-04-2021,Maharashtra,55477,34256,297,201693
06-04-2021,Madhya Pradesh,3722,2203,18,33493
06-04-2021,Gujarat,3280,2167,17,125383
06-04-2021,Chandigarh,319,342,2,2361
06-04-2021,Bihar,1080,267,2,81314
06-04-2021,Andhra Pradesh,1941,835,7,31657
06-04-2021,Tripura,14,6,0,1402
06-04-2021,Odisha,588,266,0,25005
06-04-2021,Arunachal Pradesh,2,1,0,259
06-04-2021,Haryana,2099,1115,9,32449
06-04-2021,Manipur,7,1,0,1135
06-04-2021,Uttarakhand,856,351,7,48863
06-04-2021,Andaman and Nicobar Islands,7,9,0,1467
06-04-2021,Puducherry,237,139,2,3018
06-04-2021,Tamil Nadu,3645,1809,15,80856
06-04-2021,West Bengal,2058,722,7,29394
06-04-2021,Jammu and Kashmir,561,230,2,39657
06-04-2021,Telangana,1498,245,6,62350
06-04-2021,Goa,387,95,1,2809
06-04-2021,Karnataka,6150,3487,39,102021
06-04-2021,Uttar Pradesh,5895,1176,30,179575
06-04-2021,Kerala,3502,1898,14,59051
06-04-2021,Nagaland,2,2,0,170
06-04-2021,Meghalaya,9,4,0,1352
06-04-2021,Delhi,5100,2330,17,103453
06-04-2021,Lakshadweep,7,0,0,186
06-04-2021,Chhattisgarh,9921,1719,53,47973
06-04-2021,Rajasthan,2236,851,13,51715
06-04-2021,Punjab,2905,2350,61,43844
06-04-2021,Jharkhand,1264,298,4,27379
06-04-2021,Assam,92,34,2,14740
06-04-2021,Himachal Pradesh,483,456,5,7187
06-04-2021,Mizoram,9,1,0,735
07-04-2021,Maharashtra,59920,30296,322,231250
07-04-2021,Madhya Pradesh,4043,2126,13,33419
07-04-2021,Gujarat,3575,2217,22,123866
07-04-2021,Chandigarh,399,313,2,3112
07-04-2021,Bihar,1527,553,3,85050
07-04-2021,Andhra Pradesh,2331,853,11,31812
07-04-2021,Tripura,21,1,1,1134
07-04-2021,Odisha,791,246,1,31531
07-04-2021,Arunachal Pradesh,8,2,0,330
07-04-2021,Haryana,2366,1198,11,32584
07-04-2021,Manipur,12,0,0,883
07-04-2021,Uttarakhand,1206,88,5,31249
07-04-2021,Andaman and Nicobar Islands,8,10,0,1744
07-04-2021,Puducherry,173,125,1,1149
07-04-2021,Tamil Nadu,3986,1824,17,80535
07-04-2021,West Bengal,2390,867,8,29394
07-04-2021,Jammu and Kashmir,812,254,6,43875
