Entry_ID,Date Announced,Detected District,Detected State,State code,Num Cases,Current Status
611791,18-05-2021,,Sikkim,SK,2,Deceased
611792,18-05-2021,,Delhi,DL,4482,Hospitalized
611793,18-05-2021,,Delhi,DL,9403,Recovered
611794,18-05-2021,,Delhi,DL,265,Deceased
611795,18-05-2021,Daman,Dadra and Nagar Haveli and Daman and Diu,DN,17,Hospitalized
611796,18-05-2021,Daman,Dadra and Nagar Haveli and Daman and Diu,DN,28,Recovered
611797,18-05-2021,,Goa,GA,1358,Hospitalized
611798,18-05-2021,,Goa,GA,3120,Recovered
611799,18-05-2021,,Goa,GA,45,Deceased
611800,18-05-2021,Aizawl,Mizoram,MZ,81,Recovered
611801,18-05-2021,Lawngtlai,Mizoram,MZ,6,Recovered
611802,18-05-2021,Lunglei,Mizoram,MZ,11,Recovered
611803,18-05-2021,Saitual,Mizoram,MZ,6,Recovered
611804,18-05-2021,Serchhip,Mizoram,MZ,7,Recovered
611805,18-05-2021,Saiha,Mizoram,MZ,15,Recovered
611806,18-05-2021,Aizawl,Mizoram,MZ,1,Deceased
611807,18-05-2021,Angul,Odisha,OR,438,Recovered
611808,18-05-2021,Balasore,Odisha,OR,301,Recovered
611809,18-05-2021,Bargarh,Odisha,OR,448,Recovered
611810,18-05-2021,Bhadrak,Odisha,OR,100,Recovered
611811,18-05-2021,Balangir,Odisha,OR,273,Recovered
611812,18-05-2021,Boudh,Odisha,OR,113,Recovered
611813,18-05-2021,Cuttack,Odisha,OR,887,Recovered
611814,18-05-2021,Deogarh,Odisha,OR,136,Recovered
611815,18-05-2021,Dhenkanal,Odisha,OR,167,Recovered
611816,18-05-2021,Gajapati,Odisha,OR,116,Recovered
611817,18-05-2021,Ganjam,Odisha,OR,195,Recovered
611818,18-05-2021,Jagatsinghpur,Odisha,OR,137,Recovered
611819,18-05-2021,Jajpur,Odisha,OR,222,Recovered
611820,18-05-2021,Jharsuguda,Odisha,OR,331,Recovered
611821,18-05-2021,Kalahandi,Odisha,OR,465,Recovered
611822,18-05-2021,Kandhamal,Odisha,OR,100,Recovered
611823,18-05-2021,Kendrapara,Odisha,OR,158,Recovered
611824,18-05-2021,Kendujhar,Odisha,OR,177,Recovered
611825,18-05-2021,Khordha,Odisha,OR,1418,Recovered
611826,18-05-2021,Koraput,Odisha,OR,122,Recovered
611827,18-05-2021,Malkangiri,Odisha,OR,94,Recovered
611828,18-05-2021,Mayurbhanj,Odisha,OR,207,Recovered
611829,18-05-2021,Nabarangapur,Odisha,OR,291,Recovered
